OBJECTID,Beat,Section,Section_Num,created_user,created_date,last_edited_user,last_edited_date,Shape__Area,Shape__Length
1,209,Central,9,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,4178586.08984375,10301.4535082328
2,219,Central,9,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,2692370.3984375,6870.75969173374
3,229,Central,9,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,2609156.31640625,8350.39654711258
4,265,Goodman,5,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,5858631.56640625,14006.4282372567
5,245,Goodman,5,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,4561203.546875,8422.83065428412
6,255,Goodman,5,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,7736072.07421875,15591.1484678736
7,225,Goodman,5,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,3911137.25390625,8932.84489728699
8,235,Goodman,5,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,9046331.34765625,13964.9618542275
9,215,Goodman,5,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,2580274.4296875,7505.45814618756
10,205,Goodman,5,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,11941042.6445313,44613.306472866
11,287,Clinton,7,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,3368074.14453125,7782.97174472724
12,297,Clinton,7,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,2354005.109375,6792.89160201499
13,277,Clinton,7,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,2829427.34765625,9528.5978923865
14,267,Clinton,7,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,2530808.12890625,6507.13671290277
15,257,Clinton,7,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,1739642.26953125,5932.00475357209
16,247,Clinton,7,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,2035694.40234375,6827.47138509079
17,217,Clinton,7,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,2045401.68359375,6367.00145524066
18,227,Clinton,7,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,2392336.4296875,6289.54449649139
19,237,Clinton,7,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,3376183.05859375,8287.68877109678
20,207,Clinton,7,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,6807358.3046875,32750.2360341932
21,281,Lake,1,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,5258354.078125,10991.7443475219
22,291,Lake,1,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,1792724.8359375,5935.96936705515
23,241,Lake,1,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,8476107.5,14940.2409940499
24,261,Lake,1,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,2230560.7578125,6179.88728068478
25,271,Lake,1,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,1979781.3203125,5895.78647285469
26,251,Lake,1,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,1397071.1640625,4706.6300921263
27,221,Lake,1,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,6843376.0546875,21906.1610056899
28,211,Lake,1,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,10248044.5273438,15869.7173990468
29,231,Lake,1,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,2987299.67578125,7295.70561293578
30,201,Lake,1,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,9384307.7421875,20529.656710403
31,203,Genesee,3,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,7053678.8359375,11409.0553362344
32,213,Genesee,3,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,3061530.8046875,7363.67181748977
33,223,Genesee,3,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,3036312.34765625,8396.69675352546
34,233,Genesee,3,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,2326088.2109375,6766.51264980248
35,243,Genesee,3,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,5603933.38671875,11366.4732952559
36,243,Genesee,3,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,6217297.3828125,10988.7734752543
37,263,Genesee,3,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,13330165.3710938,25868.9761155519
38,253,Genesee,3,rpdny.pub,2018/11/15 20:08:55.676+00,rpdny.pub,2018/11/15 20:08:55.676+00,2667284.69140625,7119.60444105549
