X,Y,FID,OBJECTID,NAME,FULLADDR
-77.5980459488022,43.1488154576534,1,1,Engine 1,315 Monroe Ave
-77.6140815118698,43.1815600687701,2,2,Engine 2,1207 North Clinton Ave
-77.6587664668464,43.1735605832897,3,3,Engine 3,1051 Emerson St
-77.6389335878297,43.1650336665656,4,4,Engine 5,450 Lyell Ave
-77.6362117280266,43.132797082401,5,5,Engine 7,873 Genesee St
-77.6106171858149,43.1308081625873,6,6,Truck 3,1261 South Ave
-77.5803945967445,43.1675854692279,7,7,Engine 9,740 North Goodman St
-77.6391582934112,43.19353589941,8,8,Engine 10 / Truck 2,1477 Dewey Ave
-77.5576669038966,43.1596312468055,9,9,Engine 12,160 Wisconsin St
-77.6236255249886,43.1567378960604,10,10,Engine 13 / Truck 10,272 Allen St
-77.5987727682466,43.1776546501167,11,11,Engine 16 / Truck 6,704 Hudson Ave
-77.6033870199256,43.1608214073294,12,12,Engine 17 / Rescue 11 / HazMat 1&2,185 North Chestnut St
-77.6179516405815,43.2447994601384,13,13,Engine 19,4090 Lake Ave
-77.5767484205618,43.1531182896375,14,14,Truck 4,977 University Ave
-77.6513184884193,43.1483688441319,15,15,Truck 5,57 Gardiner Ave
-77.6316284374569,43.0979094363058,16,16,Engine 8,2695 W Henrietta Rd
